9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
3107,"Projected impact of Cervarix® vaccination on oncogenic human papillomavirus infection and cervical cancer in the United Kingdom (B/T) Computer Science; (HSC) Biostatistics/Epidemiology; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology; (HSC) Public Health and Safety;  Human Vaccines & Immunotherapeutics ---Taylor and Francis GlaxoSmithKline VaccinesGlobal EpidemiologyWavre, Belgium  GlaxoSmithKline VaccinesGlobal EpidemiologyKing of Prussia, PA, USA",+Error in Methods,Thierry Van Effelterre Cosmina Hogea Sylvia Taylor,07/07/2014 25424784 10.4161/hv.28834,12/20/2014 25529894 10.4161/21645515.2014.983336,Research Article Retraction,Belgium United States No
17485,"Basic Principles Underlying Human Physiology (BLS) Anatomy/Physiology; (HSC) Medicine - Infectious Disease;  Health ---Scientific Research Publishing  (SCIRP) Bucharest Medical University, Bucharest, Romania http://retractionwatch.com/2015/01/02/aids-denialism-paper-retracted-jeffrey-beall-draws-attention/",+Concerns/Issues About Data+Concerns/Issues About Results,Dumitru Pavel,07/01/2014 00000000 10.4236/health.2014.614213,12/19/2014 00000000 10.4236/health.2014.614213,Review Article Retraction,Romania No
3892,"Autoadaptive ER-Associated Degradation Defines a Preemptive Unfolded Protein Response Pathway (BLS) Biology - Cellular; (BLS) Genetics; (BLS) Microbiology; (HSC) Biostatistics/Epidemiology;  Molecular Cell ---Elsevier  - Cell Press Institute for Research in Biomedicine, Protein Folding and Quality Control, 6500 Bellinzona, Switzerland Department of Molecular Pathogenesis, National Cerebral and Cardiovascular Center, Osaka 565-8565, Japan Ecole Polytechnique Fédérale de Lausanne, School of Life Sciences, 1015 Lausanne, Switzerland http://retractionwatch.com/2015/04/21/biology-team-with-two-retractions-now-correcting-references-to-nixed-papers/ http://retractionwatch.com/2014/12/22/researchers-retract-paper-first-author-won-award-wont-sign-notice/",+Manipulation of Images+Results Not Reproducible,Riccardo Bernasconi Carmela Galli Koichi Kokame Maurizio Molinari,11/14/2013 24239290 10.1016/j.molcel.2013.10.016,12/18/2014 25671226 10.1016/j.molcel.2014.11.028,Research Article Retraction,Japan Switzerland No
3976,"Role of the SEL1L:LC3-I Complex as an ERAD Tuning Receptor in the Mammalian ER (BLS) Biology - Cellular; (BLS) Genetics; (BLS) Microbiology; (HSC) Biostatistics/Epidemiology;  Molecular Cell ---Elsevier  - Cell Press Institute for Research in Biomedicine, CH-6500 Bellinzona, Switzerland Virology Division, Department of Infectious Diseases and Immunology, Faculty of Veterinary Medicine, Utrecht University, The Netherlands Department of Cell Biology, University Medical Center Utrecht, The Netherlands École Polytechnique Fédérale  de Lausanne, School of Life Sciences, CH-1015 Lausanne, Switzerland http://retractionwatch.com/2014/12/22/researchers-retract-paper-first-author-won-award-wont-sign-notice/ http://retractionwatch.com/2015/04/21/biology-team-with-two-retractions-now-correcting-references-to-nixed-papers/",+Manipulation of Images+Objections by Author(s)+Results Not Reproducible,Riccardo Bernasconi Carmela Galli Julia Noack Siro Bianchi Cornelis de Haan Fulvio Reggiori Maurizio Molinari,05/24/2012 22633958 10.1016/j.molcel.2012.04.017,12/18/2014 25671227 10.1016/j.molcel.2014.11.029,Research Article Retraction,Netherlands Switzerland No
4774,"Baicalin induced dendritic cell apoptosis in vitro (BLS) Biology - Cellular; (HSC) Medicine - Pharmacology;  Frontiers in Pharmacology ---Frontiers School of Pharmacy, Second Military Medical University Shanghai, China http://retractionwatch.com/2014/12/26/incorrect-data-kills-apoptosis-paper/",+Concerns/Issues About Results+Error in Analyses+Error in Data,Huahua Zhang Qingqing Jiao Qianfeng Gong Yan Zhang Weidong Zhang Zhenlin Hu,03/29/2011 21687510 10.3389/fphar.2011.00015,12/17/2014 25579400 10.3389/fphar.2014.00283,Research Article Retraction,China Unknown
2707,"Ubiquitination of the GTPase Rap1B by the ubiquitin ligase Smurf2 is required for the establishment of neuronal polarity (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Neurology;  The EMBO Journal ---EMBO Press Abteilung Molekularbiologie, Institut für Allgemeine Zoologie und Genetik, Westfälische Wilhelms-Universität Münster, Münster, Germany http://retractionwatch.com/2014/12/18/stem-cell-researcher-retracts-neuron-paper-image-aberrations/",+Concerns/Issues About Image+Error in Data+Error in Image,Jens C Schwamborn Myriam Müller Annemarie HM Becker Andreas W Püschel,03/07/2007 17318188 10.1038/sj.emboj.7601580,12/17/2014 25520303 10.15252/embj.201470130,Research Article Retraction,Germany No
4788,"Effects of destrin pathway mutations on the gene expression profile (BLS) Biology - Cancer; (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Ophthalmology; (HSC) Medicine - Pathology;  Genetics and Molecular Research (GMR) ---FUNPEC-RP Department of Vision, Southwest Hospital, Third Military Medical University, Chongqing",+Plagiarism of Article,J N Xu X Liu H Wang C M Hu Q H Luo Q Q Zhou,04/08/2014 24782051 10.4238/2014.April.8.5,12/15/2014 25511045 10.4238/2014.April.8.5retraction,Research Article Retraction,China No
8309,"Altering spinal cord excitability enables voluntary movements after chronic complete paralysis in humans (HSC) Medicine - Neurology; (HSC) Medicine - Orthopedics; (HSC) Medicine - Rehabilitation/Therapy;  Brain ---Oxford Academic Frazier Rehab Institute, Kentucky One Health, Louisville, KY, USA Department of Neurological Surgery, Kentucky Spinal Cord Research Centre, University of Louisville, KY, USA Department of Integrative Biology and Comparative Physiology, University of California, Los Angeles, CA, USA Department of Neurobiology and Brain Research Institute, University of California, Los Angeles, CA, USA Pavlov Institute of Physiology, St. Petersburg, Russia",+Conflict of Interest+Error in Text,Claudia A Angeli V Reggie Edgerton Yury P Gerasimenko Susan J Harkema,04/07/2014 24713270 10.1093/brain/awu038,12/12/2014  10.1093/brain/awu345,Research Article Correction,Russia United States No
17743,"Tophi in anterior chest wall (HSC) Medicine - Cardiology;  Joint Bone Spine ---Elsevier Division of Allergy, Immunology and Rheumatology, Department of Internal Medicine, National Taiwan University Hospital, No.7, Chung Shan S. Road, Taipei 100, Taiwan",+Duplication of Article+Error by Journal/Publisher,Cheng-Hsun Lu Song-Chou Hsieh Ko-Jen Li,06/24/2014 24709001 10.1016/j.jbspin.2014.03.023,12/11/2014 24709001 10.1016/j.jbspin.2014.08.009,Case Report Retraction,Taiwan No
8787,"Comparative In Vivo Evaluations of Curcumin and Its Analog Difluorinated Curcumin Against Cisplatin-Induced Nephrotoxicity (BLS) Biochemistry; (BLS) Toxicology; (HSC) Medicine - Pharmacology; (HSC) Medicine - Urology/Nephrology;  Biological Trace Element Research ---Springer Department of Animal Nutrition, Faculty of Veterinary Science, Firat University, Elazig, Turkey Department of Biology, Faculty of Science, Firat University, Elazig, Turkey Department of Biochemistry, Faculty of Life Sciences, Aligarh Muslim University, Aligarh, India Department of Toxicology, Institute of Veterinary Control, Elazig, Turkey Department of Chemistry, University of Pune, Pune, India Department of Pathology, Wayne State University School of Medicine, Wayne State University, Detroit, USA Department of Oncology, Karmanos Cancer Institute, Wayne State University, Detroit, USA http://retractionwatch.com/2016/06/17/scientist-who-sued-pubpeer-earns-5-retractions-following-wayne-state-investigation/ http://retractionwatch.com/2016/08/12/meet-the-researcher-who-tried-to-take-on-pubpeer-commenters-fazlul-sarkar/ http://retractionwatch.com/the-retraction-watch-leaderboard/",+Duplication of Image+Investigation by Company/Institution+Manipulation of Images+Misconduct - Official Investigation/Finding,Kazim Sahin Cemal Orhan Mehmet Tuzcu Irfana Muqbil Nurhan Sahin Hasan Gencoglu Osman Guler Subhash B Padhye Fazlul H Sarkar Ramzi M Mohammad,01/12/2014 24415068 10.1007/s12011-014-9886-x,12/10/2014 25488703 10.1007/s12011-014-0198-y,Research Article Correction,India Turkey United States No
3521,"Gut microbiota and related diseases: clinical features (BLS) Anatomy/Physiology; (BLS) Microbiology; (BLS) Zoology; (HSC) Medicine - Gastroenterology;  Internal and Emergency Medicine ---Springer Department of Clinical Medicine, St. Orsola-Malpighi Hospital, University of Bologna, Bologna, Italy http://retractionwatch.com/2014/12/17/mix-match-text-topples-microbiome-paper/",+Euphemisms for Plagiarism+Plagiarism of Text,Vincenzo Stanghellini Giovanni Barbara Cesare Cremon Rosanna Cogliandro Alexandra Antonucci Veronica Gabusi Chiara Frisoni Roberto De Giorgio Valentina Grasso Mauro Serra Roberto Corinaldesi,09/24/2010 20865476 10.1007/s11739-010-0451-0,12/10/2014 25492051 10.1007/s11739-014-1164-6,Research Article Retraction,Italy No
7191,"Association of TNF-a-308GA polymorphisms with hepatocellular carcinoma in Han Chinese population: A systematic review and meta-analysis (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Oncology;  Clinics and Research in Hepatology and Gastroenterology ---Elsevier School of Preclinical Medicine, Guangxi Medical University, Nanning 530021, China Nanning Center for Disease Control and Prevention, Nanning 530021, China Institute of Molecular Medicine and School of Biomedical Science, Huaqiao University, Quanzhou 362021, China http://retractionwatch.com/2016/04/11/seven-papers-flagged-earlier-for-fake-reviews-now-retracted-by-elsevier/ http://retractionwatch.com/2015/10/13/elsevier-retracting-nine-papers-for-fake-peer-review/",+Fake Peer Review+Withdrawal,Feng Wang Siyi Chen Ruian Xu,12/08/2014 25497275 10.1016/j.clinre.2014.10.004,12/08/2014 25497275 10.1016/j.clinre.2014.10.004,Article in Press Meta-Analysis Retraction,China No
3145,"Association of Anti-Mullerian Hormone and Small-dense Low-density Lipoprotein Cholesterol with Hepatosteatosis in Young Lean Women with and Without Polycystic Ovary Syndrome (BLS) Anatomy/Physiology; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Obstetrics/Gynecology;  European Journal of Obstetrics, Gynecology, and Reproductive Biology ---Elsevier University of Ufuk, Faculty of Medicine, Department of Obstetrics and Gynecology, Balgat, 06520 Ankara, Turkey University of Ufuk, Faculty of Medicine, Department of Radiology, Balgat, 06520 Ankara, Turkey University of Ufuk, Faculty of Medicine, Department of Biochemistry, Balgat, 06520 Ankara, Turkey Yuksek Ihtisas Education and Research Hospital, Gastroenterology Clinic, Sihhiye, 06230 Ankara, Turkey http://retractionwatch.com/2015/02/17/rebirth-ovary-article-prompts-retraction-ob-lit/",+Duplication of Text+Euphemisms for Duplication,E Oztas G S Caglar C Kaya D Karadag S Demirtas M Kurt R Pabuccu,11/01/2014 25632415 10.1016/j.ejogrb.2014.09.037,12/05/2014 25632416 10.1016/j.ejogrb.2014.11.024,Research Article Retraction,Turkey No
6357,"A framework with modified fast FCM for brain MR images segmentation (BLS) Neuroscience; (HSC) Medicine - Neurology;  Pattern Recognition ---Elsevier The School of Computer Science and Technology, Nanjing University of Science and Technology, Nanjing 210094, China",+Duplication of Text+Euphemisms for Plagiarism,Ze-Xuan Ji Quan-Sen Sun De-Shen Xia,05/01/2011  10.1016/j.patcog.2010.11.017,12/01/2014  10.1016/j.patcog.2014.08.005,Research Article Retraction,China No
2982,"Association study of TGFBR2 and miR-518 gene polymorphisms with age at natural menopause, premature ovarian failure, and early menopause among Chinese Han women (BLS) Genetics; (HSC) Medicine - Obstetrics/Gynecology;  Medicine ---Wolters Kluwer - Lippincott Williams & Wilkins Department of Epidemiology, College of Preventive Medicine, Third Military Medical University, Chongqing Department of Cardiology, Affiliated Yixing People’s Hospital of Jiangsu University, People’s Hospital of Yixing City, Yixing Department of Epidemiology and Biostatistics, School of Public Health, Nanjing Medical University, Nanjing, China http://retractionwatch.com/2015/01/02/fake-peer-review-fells-yet-another-paper/",+Fake Peer Review,Xiangyu Ma Yanchun Chen Xianghai Zhao Jinfeng Chen Chong Shen Song Yang,10/01/2014 25365407 10.1097/MD.0000000000000093,12/01/2014 25546655 10.1097/01.md.0000464198.32802.f7,Clinical Study Retraction,China No
3948,"AvrXa7-Xa7 mediated defense in rice can be suppressed by transcriptional activator-like effectors TAL6 and TAL11a from Xanthomonas oryzae pv. oryzicola (BLS) Biology - Molecular; (BLS) Genetics; (BLS) Microbiology; (BLS) Plant Biology/Botany; (HSC) Medicine - Immunology; (HSC) Medicine - Pathology; (PUB) Society/Association Journals;  Molecular Plant-Microbe Interactions (MPMI) ---American Phytopathological Society School of Agriculture and Biology, Shanghai Jiao Tong University/State Key Laboratory of Microbial Metabolism, Shanghai, 200240, China  Key Laboratory for Plant Pathology of Yunnan Province, College of Plant Protection, Yunnan Agricultural University, Kunming, 650201, China",+Concerns/Issues About Data+Duplication of Image+Ethical Violations by Author,Zhi-Yuan Ji Li Xiong Yu-Rong Li Wen-Xiu Ma Liang Liu Muhammad Zakria Guang-Hai Ji Gong-You Chen,09/01/2014 25105804 10.1094/MPMI-09-13-0279-R,12/01/2014 25988209 10.1094/MPMI-09-13-0279-R,Research Article Retraction,China No
3420,"Central Sirt1 regulates body weight and energy expenditure along with the POMC-derived peptide a-MSH and the processing enzyme CPE production in diet-induced obese male rats (BLS) Biology - Molecular; (HSC) Medicine - Endocrinology; (PUB) Society/Association Journals;  Endocrinology ---Oxford Academic Division of Endocrinology (N.E.C, J.S.S., A.M.T., J.Z.Y, R.S., E.A.N.), Department of Medicine, The Warren Alpert Medical School of Brown University/Rhode Island Hospital, Providence, Rhode IslandDepartment of Molecular Biology, Cell Biology and Biochemistry (E.A.N.), Brown University, Providence, Rhode Island",+Notice - Limited or No Information,Nicole E Cyr Jennifer S Steger Anika M Toorie Jonathan Z Yang Ronald Stuart Eduardo A Nillni,04/28/2014 24773342 10.1210/en.2013-1998,12/01/2014 25415345 doi.org/10.1210/en.2014-1867,Research Article Retraction,United States No
5460,"Denitrosylation of HDAC2 by targeting Nrf2 restores glucocorticosteroid sensitivity in macrophages from COPD patients (BLS) Biology - Cellular; (HSC) Medicine - Drug Design; (HSC) Medicine - Pulmonology; (PUB) Society/Association Journals;  The Journal of Clinical Investigation  (JCI) ---American Society for Clinical Investigation Department of Environmental Health Sciences, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland, USA  National Heart and Lung Institute, Imperial College London, London, United Kingdom  Pulmonary and Critical Care Medicine, Department of Medicine, Johns Hopkins Hospital, Baltimore, Maryland, USA http://retractionwatch.com/2014/12/05/copd-paper-jci-retracted-following-pubpeer-critiques/ http://retractionwatch.com/2011/02/17/allergy-journal-clears-studies-linked-to-jailed-u-k-researcher-erin/",+Manipulation of Images+Objections by Third Party,Deepti Malhotra Rajesh K Thimmulappa Nicolas Mercado Kazuhiro Ito Ponvijay Kombairaju Sarvesh Kumar Jinfang Ma David Feller-Kopman Robert Wise Peter Barnes Shyam Biswal,11/01/2011 22005302 10.1172/JCI45144,12/01/2014 25438060 10.1172/JCI79606,Clinical Study Retraction,United Kingdom United States No
3741,"Lamotrigine in the immediate treatment of outpatients with depersonalization disorder without psychiatric comorbidity: randomized, double-blind, placebo-controlled study (HSC) Medicine - Pharmacology; (HSC) Medicine - Psychiatry;  Journal of Clinical Psychopharmacology ---Wolters Kluwer - Lippincott Williams & Wilkins Central Mental Clinic for Outpatients of Baku CityPsychiatric Department of Azerbaijan State Medical University http://retractionwatch.com/2014/12/04/psych-paper-falls-afoul-journals-plagiarism-policy-hint-dont-plagiarize/",+Plagiarism of Text,Nadir A Aliyev Zafar N Aliyev,02/01/2011 21192145 10.1097/JCP.0b013e31820428e1,12/01/2014 25409237 10.1097/JCP.0000000000000243,Clinical Study Retraction,Azerbaijan No
